scheme_code,isin_growth,isin_div,scheme_name,nav,nav_date
101843,INF209K01975,INF209K01DK0,Aditya Birla Sun Life Short Term Fund - REGULAR - IDCW,15.053,2026-07-14
112356,INF209K01BU3,-,Aditya Birla Sun Life Short Term Fund - REGULAR - Quarterly IDCW,10.4051,2026-07-14
119497,INF209K01R96,INF209KA1KR4,Aditya Birla Sun Life Short Term Fund-Quarterly-IDCW-Direct,10.9187,2026-07-14
119501,INF209K01UR9,-,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan,596.695,2026-07-14
101317,INF209K01LZ1,-,Aditya Birla Sun Life Savings Fund - Growth - Regular Plan,584.6526,2026-07-14
119500,INF209K01UQ1,-,Aditya Birla Sun Life Savings Fund-DIRECT - DAILY IDCW,99.9596,2026-07-14
119499,INF209K01US7,-,Aditya Birla Sun Life Savings Fund-DIRECT - WEEKLY IDCW,100.5061,2026-07-14
105888,INF209K01LY4,-,Aditya Birla Sun Life Savings Fund-Regular - DAILY IDCW,99.9573,2026-07-14
105887,INF209K01MA2,-,Aditya Birla Sun Life Savings Fund-Regular - weekly IDCW,100.4297,2026-07-14
119544,INF209K01UN8,-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,69.48,2026-07-14
107745,INF209K01108,-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option,61.82,2026-07-14
119543,INF209K01P23,INF209K01UM0,Aditya Birla Sun Life ELSS Tax Saver Fund-DIRECT - IDCW,436.69,2026-07-14
103164,INF209K01090,INF209K01CB1,Aditya Birla Sun Life ELSS Tax Saver Fund-Regular - IDCW,189.66,2026-07-14
118619,INF754K01BX2,INF754K01BY0,Edelweiss ELSS Tax Saver Fund - Direct Plan - IDCW Option,46.48,2026-07-14
118620,INF754K01CA8,-,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,137.45,2026-07-14
111638,INF754K01517,-,Edelweiss ELSS Tax Saver Fund - Regular Plan - Growth Option,114.37,2026-07-14
111639,INF754K01525,INF754K01541,Edelweiss ELSS Tax Saver Fund - Regular Plan - IDCW Option,30.61,2026-07-14
120564,INF209K01XX1,-,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,2148.94,2026-07-14
103166,INF209K01AJ8,-,Aditya Birla Sun Life Flexi Cap Fund - Growth - Regular Plan,1908.03,2026-07-14
120565,INF209KA1LE0,INF209K01XY9,Aditya Birla Sun Life Flexi Cap Fund -DIRECT - IDCW,233.97,2026-07-14
103165,INF209K01AQ3,INF209K01DT1,Aditya Birla Sun Life Flexi Cap Fund -Regular - IDCW,164.38,2026-07-14
140353,INF843K01KK1,-,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,45.15,2026-07-14
140354,INF843K01KL9,INF843K01KM7,Edelweiss Flexi Cap Fund - Direct Plan - IDCW Option,36.567,2026-07-14
140356,INF843K01KO3,INF843K01KP0,Edelweiss Flexi Cap Fund - Regular - IDCW Option,31.095,2026-07-14
140355,INF843K01KN5,-,Edelweiss Flexi Cap Fund - Regular Plan - Growth Option,38.481,2026-07-14
119564,INF209K01WE3,-,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,165.9891,2026-07-14
119563,INF209K01Q71,INF209K01WF0,Aditya Birla Sun Life Focused Fund -Direct - IDCW,59.2598,2026-07-14
103309,INF209K01462,-,Aditya Birla Sun Life Focused Fund -Growth Option,146.0161,2026-07-14
103308,INF209K01454,INF209K01CS5,Aditya Birla Sun Life Focused Fund -Regular - IDCW,24.9301,2026-07-14
